Epoch,train_sat_kb,test_sat_kb,train_accuracy,test_accuracy
0,0.40332120656967163,0.4034309983253479,0.0,0.0
1,0.40334391593933105,0.4034475088119507,0.0,0.0
2,0.40336793661117554,0.4034651517868042,0.0,0.0
3,0.4033925533294678,0.40348273515701294,0.0,0.0
4,0.40341824293136597,0.40350037813186646,0.0,0.0
5,0.4034438729286194,0.4035176634788513,0.0,0.0
6,0.40347135066986084,0.40353524684906006,0.0,0.0
7,0.4034992456436157,0.4035530090332031,0.0,0.0
8,0.40352940559387207,0.4035717844963074,0.0,0.0
